Name,Quantity,Price
Classic Connect Cigarette,20 piece,300.0
Classic Icon,10 piece,95.0
Classic Balanced Taste Cigarette (Classic Mild),20 piece,340.0
Gold Flake Twinpod,10 piece,170.0
Gold Flake Kings Red Cigarette,20 piece,340.0
American Club Fruity Taste,10 piece,130.0
Gold Flake Slk Sleeks,16 piece,224.0
Gold Flake Indie Mint cigarette,10 piece,100.0
Classic Ice Burst Cigarette,20 piece,340.0
Gold Flake Kings Red Cigarette,10 piece,170.0
Marlboro Advance Compact,10 piece,95.0
Stellar shift with Mint,20 piece,200.0
Marlboro Filter Black Kretek,12 Piece,150.0
Classic Balanced Taste Cigarette (Classic Mild),10 piece,170.0
Stellar Duos Double Shift,20 piece,240.0
Marlboro Fine Touch,10 piece,120.0
Classic Fine Taste Low Smell,20 piece,340.0
Marlboro Gold Advance,10 piece,170.0
Gold Flake King's Blue (Lights),10 piece,170.0
I-Gen Excellence,14 piece,280.0
Stellar Shift Millennium,20 piece,200.0
Classic Ice Burst Cigarette,10 piece,170.0
Classic Verve Cigarette,16 piece,190.0
Marlboro Fuse Beyond Double Switch,20 piece,340.0
American Club Fresh Mint,10 piece,120.0
Marlboro Gold Advance,20 piece,340.0
American Club Smash,10 piece,120.0
Classic Rich Taste Cigarette (Classic Regular),20 piece,340.0
Marlboro Gold Light,20 piece,340.0
Marlboro Red,10 piece,170.0
Gold flake Mixpod,10 piece,170.0
American Club Clove Mint,10 piece,120.0
