Title,Category,Subcategory,MRP,DMart Price,Discount,Quantity,Unit Price,Product URL
Bata Orthocomfit Men's Slipper M5 - Brown : Size 10,Clothing,men,199.0,169.0,30.0,,,https://www.dmart.in/product/bata-orthocomfit-mens-slipper-m5-brown-pmenfotwr0bata39xx290724?selectedProd=1600589
Bata Alex Remo Slip-On Men's Shoes AW22 - Black : Size 10,Clothing,men,699.0,599.0,100.0,,,https://www.dmart.in/product/bata-alex-remo-slip-on-mens-shoes-aw22-black-pmenfotwr0bata57xx280524?selectedProd=1576085
Bata Alex Remo Lace-Up Men's Shoes AW22 - Black : Size 10,Clothing,men,699.0,599.0,100.0,,,https://www.dmart.in/product/bata-alex-remo-lace-up-mens-shoes-aw22-black-pmenfotwr0bata55xx280524?selectedProd=1576081
Bata Orthocomfit Men's Slipper M5 - Grey : Size 11,Clothing,men,199.0,169.0,30.0,,,https://www.dmart.in/product/bata-orthocomfit-mens-slipper-m5-grey-pmenfotwr0bata31xx290724?selectedProd=1600585
Bata Orthocomfit Women's Slipper M5 - Blue : Size 8,Clothing,men,189.0,159.0,30.0,,,https://www.dmart.in/product/bata-orthocomfit-womens-slipper-m5-blue-pgirlsslipr0bata21xx290724?selectedProd=1600581
Bata Orthocomfit Women's Slipper M5 - Pink : Size 8,Lighting & Electrical,pin,189.0,159.0,30.0,,,https://www.dmart.in/product/bata-orthocomfit-womens-slipper-m5-pink-pgirlsslipr0bata1xx290724?selectedProd=1600571
Bata Orthocomfit Women's Slipper M5 - Black : Size 8,Clothing,men,189.0,159.0,30.0,,,https://www.dmart.in/product/bata-orthocomfit-womens-slipper-m5-black-pgirlsslipr0bata11xx290724?selectedProd=1600576
Relaxo Flite Women's Chappal PUL118 - Maroon : Size 5,Clothing,men,289.5,269.0,20.5,,,https://www.dmart.in/product/relaxo-flite-womens-chappal-pul117---maroon-pmenfotwr0flit41xx80723?selectedProd=1344031
Relaxo Flite Women's Chappal PUL117 - Maroon : Size 4,Clothing,men,269.5,250.0,19.5,,,https://www.dmart.in/product/relaxo-flite-womens-chappal-pul117---maroon-pmenfotwr0flit41xx70723?selectedProd=1344057
Kiwi Express Sponge All Colours : 5 ml,Uncategorized,,92.0,80.0,12.0,5 ml,16.0,https://www.dmart.in/product/kiwi-express-sponge-all-colours-pwaxpolish0klin65xx20620?selectedProd=731409
Kiwi Express Shine Sponge - Black : 5 ml,Uncategorized,,92.0,86.0,6.0,5 ml,17.2,https://www.dmart.in/product/kiwi-express-shine-sponge---black-pshoecarekiwi4xx90218?selectedProd=240004
Kiwi Leather Shoe Shine Brush : 1 Unit,Cleaning Tools,brush,75.0,67.0,8.0,,,https://www.dmart.in/product/kiwi-shoe-brush-pinstashine0knor67xx20620?selectedProd=731416
Kiwi Black Polish : 15 gms,Uncategorized,,40.0,35.0,5.0,15 g,2.33,https://www.dmart.in/product/kiwi-black-polish-pwaxpolish0kiwi55xx20620?selectedProd=731406
