name,category,subcategory,mrp,dmart_price,unit
Vaseline Healthy Bright Daily Brightening Lotion : 400 ml,Health & Wellness,health,,500.0,400 ml
Vaseline Healthy Bright Daily Brightening Lotion : 90 ml,Health & Wellness,health,,115.0,90 ml
Hand Aid Health+ Soap : 4 x 125 gms,Health & Wellness,health,,190.0,125 g
Clinic Plus Strong & Long Health Shampoo : 175 ml,Health & Wellness,health,,149.0,175 ml
Meera Strong & Healthy Shampoo (Kunkudukai & Badam) : 180 ml,Health & Wellness,health,,180.0,180 ml
Clinic Plus Strong & Long Health Shampoo : 650 ml,Health & Wellness,health,,729.0,650 ml
Colgate Total Advanced Health Toothpaste : 300 g,Health & Wellness,health,,370.0,300 g
Yoga Bar Breakfast Protein Bar - Apricot Fig : 50 gms,Health & Wellness,yoga,,60.0,50 g
Yoga Bar Breakfast Protein Bar - Blueberry Pie : 50 gms,Health & Wellness,yoga,,60.0,50 g
Yoga Bar Multigrain Energy Bar - Chocolate Chunk Nut : 38 gms,Health & Wellness,yoga,,50.0,38 g
Yoga Bar Protein Bar Blueberry Blast : 50 g,Health & Wellness,yoga,,100.0,50 g
