name,quantity,mrp,our_price
ProV Select California Almonds : 1 kg,,1349,749
DMart Swaad Badam : 500 gm,,500,399
Prov Independence California Almonds : 500 gms,,749,389
DMart Premia Badam (Almonds) : 500 gms,,577,449
DMart Premia Chana Dal : 1 Kgs,,148,115
Nutraj California Almonds (Badam) : 500 gms,,599,399
Tata Sampann Chana Dal : 500 gms,,96,75
DMart Premia Rajma Kashmiri : 500 gms,,116,84
DMart Premia Rajma White : 500 gms,,119,86
Wonderland California Almonds : 500 gms,,799,429
DMart Premia Badam American : 1 kg,,1058,880
DMart Premia Rajma Red Small : 500 gms,,110,82
DMart Premia Mamra Badam : 200 gms,,599,533
DMart Healthy Choice Unpolished Chana Dal : 1 kg,,171,145
Nutraj Almond : 200 gms,,299,209
Satyam Rajma Pink : 500 gms,,142,129
Tata Sampann 100% Organic Unpolished Chana Dal : 1 kg,,260,199
Satyam Chana Dal : 500 gms,,103,92
KMK Almond Mamra (Badam) : 200 gms,,750,575
KMK Almond American (Badam) : 200 gms,,258,168
Satyam Rajma Sharmili : 500 gms,,149,125
DMart Premia Almonds Salted : 100 gm,,199,99
Tata Sampann Organic Unpolished Rajma Red : 500 gms,,180,153
DMart Premia Almonds Smoked : 100 gm,,199,99
DMart Premia Moong Dal : 1 Kg,,174,134
Nutraj Cashews : 500 gms,,699,448
DMart Swaad Kaju : 500 g,,646,499
Tata Sampann Moong Dal : 1 kg,,215,147
DMart Premia Regular Kaju (Cashews) - 320 : 500 gms,,727,579
Kalbavi Popular Cashews : 500 gms,,649,469
DMart Premia Moong Dal Chilti : 1 Kg,,176,136
ProV Select Cashews : 500 gms,,849,499
DMart Premia Kaju : 500 gms,,702,469
DMart Premia Chowli Premium : 500 gms,,126,89
Kokan Gem Goa Cashew Classic (Kaju) : 500 gms,,650,519
Satyam Moong Dal : 500 gms,,129,119
DMart Premia Chowli Small : 500 gms,,171,139
DMart Premia Kaju Tukda : 100 gms,,187,129
Tata Sampann Moong Chilka : 500 gms,,103,85
DMart Healthy Choice Unpolished Moong Dal : 1 kg,,195,151
